Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curva,alpha_fuzzy,radio_curva
L,40,27.90,24.90,0.00,-0.22,-0.04,0.00,8.10,-16.01,7.64,0.99,1.53
S,40,12.70,13.10,0.76,2.47,-0.01,0.64,98.68,-0.76,1.27,0.99,0.05
L,40,26.00,24.90,0.00,-0.12,0.02,0.00,6.93,-140.01,15.69,0.99,1.53
S,40,12.20,13.10,-0.81,2.11,-0.01,-0.95,57.11,4.60,1.41,0.99,0.03
L,40,28.10,24.90,0.00,-0.12,0.03,0.00,7.42,-51.53,11.87,0.99,1.53
S,40,12.30,13.10,-0.60,0.74,-0.01,-0.73,81.61,7.96,0.97,0.99,0.04
L,40,25.90,24.90,0.00,0.02,0.02,0.00,4.59,-45.46,4.45,0.99,1.53
S,40,12.30,13.10,-0.67,0.83,-0.01,-0.81,69.38,6.05,0.96,0.99,0.01
L,40,22.60,24.90,0.00,-0.03,0.03,0.00,5.65,-55.55,2.04,0.99,1.53
S,40,12.20,13.10,-1.05,0.61,-0.01,-1.20,56.56,10.83,0.64,0.99,0.03
L,40,25.30,24.90,0.00,-0.02,-0.03,0.00,5.56,139.38,1.32,0.99,1.53
S,40,11.90,13.10,-2.05,0.52,-0.01,-2.21,23.27,8.43,0.92,0.99,0.12
L,40,27.70,24.90,0.00,0.01,0.03,0.00,5.07,-137.11,2.22,0.99,1.53
S,40,12.20,13.10,-1.25,0.30,-0.01,-1.39,34.99,12.01,0.62,0.99,0.09
L,40,26.10,24.90,0.00,-0.10,0.02,0.00,7.88,-53.83,3.91,0.99,1.53
S,40,11.90,13.10,-2.24,0.17,-0.01,-2.40,3.45,15.05,0.47,0.99,0.09
S,40,11.90,13.10,-2.24,0.17,-0.01,-2.40,3.45,15.05,0.47,0.99,0.09
L,40,29.00,24.90,0.00,-0.27,0.03,0.00,7.00,-96.06,1.16,0.99,1.53
S,40,11.90,13.10,-2.35,0.09,-0.01,-2.51,-11.21,15.06,0.42,0.99,0.09
L,40,25.90,24.90,0.00,-0.19,0.03,0.00,6.40,-62.04,0.86,0.99,1.53
S,40,12.10,13.10,-1.84,0.06,0.22,-1.99,-11.45,-830.77,0.26,0.99,0.09
L,40,25.50,24.90,0.00,-0.13,0.03,0.00,5.95,-64.77,0.02,0.99,1.53
S,40,12.30,13.10,-1.28,-0.23,0.13,-1.47,-0.27,-170.97,8.70,0.99,0.09
L,40,27.30,24.90,0.00,-0.08,0.03,0.00,5.53,-70.09,0.01,0.99,1.53
S,40,12.40,13.10,6.58,-0.29,0.02,-1.69,200.43,64.54,32.82,0.50,0.09
L,40,29.10,24.90,0.00,-0.09,0.03,0.00,6.21,-73.43,0.21,0.99,1.53
S,40,12.80,13.10,7.08,0.90,-0.22,-0.72,222.37,767.19,33.88,0.50,0.09
L,40,26.40,24.90,0.00,-0.02,0.02,0.00,0.44,-86.69,0.38,0.99,1.53
S,40,12.60,13.10,-1.22,2.22,-0.16,-1.36,7.03,237.18,16.14,0.99,0.30
L,40,29.30,24.90,0.00,0.01,0.03,0.00,-0.29,-60.92,0.69,0.99,1.53
S,40,12.30,13.10,-2.17,3.12,-0.07,-2.32,-61.29,22.13,14.01,0.99,0.45
L,40,28.00,24.90,0.00,0.01,0.35,0.00,-0.18,-1023.00,1.04,0.99,1.53
S,40,11.70,13.10,-4.00,2.55,0.23,-4.24,-125.02,-948.52,23.97,0.99,0.61
L,40,28.20,24.90,0.00,-0.08,0.15,0.00,2.18,-98.35,9.26,0.99,1.53
S,40,11.50,13.10,-4.53,1.24,0.13,-4.96,-142.49,-171.38,10.03,0.98,0.95
L,40,26.50,24.90,0.00,0.01,-0.14,0.00,0.13,635.92,38.01,0.50,1.53
S,40,11.70,13.10,-4.21,-0.64,0.02,-4.47,-118.73,65.51,25.66,0.99,0.95
L,40,29.30,24.90,0.00,0.29,-0.15,0.00,-7.13,267.68,32.52,0.50,1.53
S,40,11.50,13.10,4.98,-2.16,0.00,-5.06,140.41,-28.85,30.89,0.50,0.95
L,40,28.10,24.90,0.00,0.27,0.13,0.00,-8.21,-765.73,2.98,0.99,1.53
S,40,12.30,13.10,-2.54,-1.78,-0.22,-2.73,-24.42,739.00,21.61,0.99,0.95
L,40,28.40,24.90,0.00,-0.37,0.13,0.00,6.93,-351.86,5.77,0.99,1.53
S,40,12.40,13.10,-2.28,-0.97,0.02,-2.48,-43.16,-431.00,8.51,0.99,0.95
L,40,25.10,24.90,0.00,0.29,-0.14,0.00,-8.35,635.63,25.92,0.99,1.53
S,40,12.00,13.10,-3.55,-0.72,0.11,-3.76,-90.62,-400.14,9.21,0.99,0.95
L,40,30.90,24.90,0.00,0.31,-0.16,0.00,-8.14,595.97,24.44,0.99,1.53
S,40,11.70,13.10,-4.58,-0.93,0.02,-4.77,-128.28,66.87,2.36,0.99,0.95
L,40,29.50,24.90,0.00,0.12,-0.16,0.00,-3.07,599.74,16.55,0.99,1.53
S,40,11.60,13.10,-4.99,-1.60,-0.00,-5.18,-142.89,-11.85,12.79,0.99,0.95
L,40,23.90,24.90,0.00,0.08,-0.16,0.00,-2.21,604.99,10.55,0.99,1.53
S,40,11.80,13.10,-4.46,-2.95,-0.01,-4.68,-113.54,-22.71,8.85,0.99,0.95
L,40,25.50,24.90,0.00,-0.10,-0.16,0.00,2.64,602.28,6.43,0.99,1.53
S,40,12.00,13.10,-3.92,-2.91,-0.01,-4.16,-109.19,-14.42,6.56,0.99,0.95
L,40,26.30,24.90,0.00,-0.14,-0.15,0.00,4.18,340.36,2.74,0.99,1.53
S,40,12.00,13.10,-3.99,-2.51,-0.01,-4.24,-127.38,-6.41,5.03,0.99,0.95
L,40,27.30,24.90,0.00,-0.12,-0.11,0.00,4.40,243.91,23.76,0.99,1.53
S,40,12.30,13.10,-3.18,-2.54,-0.02,-3.39,-113.98,7.66,3.77,0.99,0.95
L,40,26.70,24.90,0.00,-0.03,0.03,0.00,2.80,-186.08,35.72,0.50,1.53
S,40,13.10,13.10,-0.82,-2.62,-0.02,-0.98,-54.00,15.29,2.59,0.99,0.95
L,40,30.90,24.90,0.00,-0.02,0.06,0.00,2.70,-114.53,33.62,0.50,1.53
S,40,13.30,13.10,-0.22,-2.34,-0.02,-0.35,-35.14,12.66,1.32,0.99,0.95
L,40,28.80,24.90,0.00,-0.25,0.03,0.00,8.88,51.05,18.33,0.99,1.53
S,40,13.30,13.10,-0.21,-1.84,-0.02,-0.33,-35.47,24.57,0.33,0.99,0.95
L,40,27.60,24.90,0.00,-0.32,-0.05,0.00,12.02,283.15,8.95,0.99,1.53
S,40,13.10,13.10,-0.80,-1.28,-0.02,-0.92,-56.15,25.24,0.09,0.99,0.95
L,40,28.80,24.90,0.00,-0.24,0.06,0.00,11.87,-233.27,9.34,0.99,1.53
S,40,13.30,13.10,-0.18,-0.81,-0.02,-0.30,-49.35,26.33,0.06,0.99,0.95
L,40,29.60,24.90,0.00,-0.35,0.07,0.00,16.05,-128.24,12.12,0.99,1.53
S,40,13.20,13.10,-0.46,-0.52,-0.02,-0.58,-60.82,33.12,0.04,0.99,0.95
L,40,29.20,24.90,0.00,-0.07,0.07,0.00,10.80,-123.04,2.89,0.99,1.53
S,40,13.10,13.10,-0.75,-0.33,-0.02,-0.88,-73.06,13.85,0.02,0.99,0.95
L,40,26.90,24.90,0.00,0.14,0.07,0.00,5.78,-125.92,3.59,0.99,1.53
S,40,13.10,13.10,-0.75,-0.30,-0.02,-0.87,-75.95,43.54,0.02,0.99,0.95
L,40,29.40,24.90,0.00,0.32,0.08,0.00,0.26,-158.48,7.67,0.99,1.53
S,40,13.30,13.10,-0.12,-0.37,-0.02,-0.25,-60.51,39.49,0.66,0.99,0.95
L,40,31.10,24.90,0.00,0.46,0.09,0.00,-5.17,-220.15,13.48,0.99,1.53
S,40,13.20,13.10,-0.39,-0.51,-0.02,-0.53,-62.41,39.17,1.64,0.99,0.95
L,40,28.80,24.90,0.00,0.60,0.13,0.00,-11.56,-343.81,18.84,0.99,1.53
S,40,13.00,13.10,-0.97,-0.62,-0.02,-1.13,-74.09,43.14,2.43,0.99,0.95
L,40,30.50,24.90,0.00,0.74,0.11,0.00,-18.75,-256.73,26.77,0.99,1.53
S,40,13.00,13.10,0.16,-0.72,-0.16,0.00,0.00,0.00,2.99,0.99,0.95
L,40,30.30,24.90,0.00,0.83,0.09,0.00,-25.42,-238.25,33.88,0.50,1.53
S,40,13.20,13.10,0.15,-0.50,-0.16,0.00,0.00,0.00,2.54,0.99,0.95
L,40,27.40,24.90,0.00,0.56,0.09,0.00,-14.57,-331.24,32.15,0.50,1.53
S,40,13.30,13.10,0.13,-0.28,-0.16,0.00,0.00,0.00,1.34,0.99,0.95
L,40,29.80,24.90,0.00,0.93,0.09,0.00,-24.22,-336.19,24.27,0.99,1.53
S,40,13.10,13.10,0.13,-0.15,-0.16,0.00,0.00,0.00,0.87,0.99,0.95
L,40,29.50,24.90,0.00,0.30,0.09,0.00,-7.91,-340.82,15.43,0.99,1.53
S,40,13.10,13.10,0.12,-0.10,-0.16,0.00,0.00,0.00,0.63,0.99,0.95
L,40,27.10,24.90,0.00,0.26,0.09,0.00,-6.79,-335.85,9.67,0.99,1.53
S,40,12.90,13.10,0.12,-0.06,-0.16,0.00,0.00,0.00,0.40,0.99,0.95
L,40,25.90,24.90,0.00,0.17,0.09,0.00,-4.51,-347.99,6.13,0.99,1.53
S,40,13.00,13.10,0.12,-0.04,-0.16,0.00,0.00,0.00,0.25,0.99,0.95
L,40,29.40,24.90,0.00,0.10,0.09,0.00,-2.59,-341.61,3.96,0.99,1.53
S,40,13.00,13.10,0.12,-0.02,-0.16,0.00,0.00,0.00,0.16,0.99,0.95
L,40,29.40,24.90,0.00,0.06,0.09,0.00,-1.68,-339.49,2.50,0.99,1.53
S,40,13.10,13.10,0.12,-0.02,-0.16,0.00,0.00,0.00,0.10,0.99,0.95
L,40,27.20,24.90,0.00,0.06,0.09,0.00,-1.70,-340.25,1.68,0.99,1.53
S,40,13.20,13.10,0.12,-0.01,-0.16,0.00,0.00,0.00,0.06,0.99,0.95
L,40,27.20,24.90,0.00,0.04,0.09,0.00,-1.10,-339.41,1.09,0.99,1.53
S,40,13.10,13.10,0.12,-0.01,-0.16,0.00,0.00,0.00,0.04,0.99,0.95
L,40,28.10,24.90,0.00,0.03,0.09,0.00,-0.72,-325.99,0.71,0.99,1.53
S,40,13.10,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.03,0.99,0.95
L,40,29.50,24.90,0.00,0.04,0.09,0.00,-1.02,-340.90,0.57,0.99,1.53
S,40,13.10,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.02,0.99,0.95
L,40,30.10,24.90,0.00,0.03,0.09,0.00,-0.66,-337.07,0.37,0.99,1.53
S,40,13.00,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.01,0.99,0.95
L,40,27.20,24.90,0.00,0.02,0.09,0.00,-0.43,-341.44,0.24,0.99,1.53
S,40,13.00,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.01,0.99,0.95
L,40,26.80,24.90,0.00,0.01,0.09,0.00,-0.28,-339.27,0.16,0.99,1.53
S,40,13.00,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,29.40,24.90,0.00,0.01,0.09,0.00,-0.18,-338.69,0.10,0.99,1.53
S,40,12.80,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,29.40,24.90,0.00,0.00,0.09,0.00,-0.12,-335.42,0.07,0.99,1.53
S,40,12.90,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,26.60,24.90,0.00,0.00,0.09,0.00,-0.08,-334.98,0.04,0.99,1.53
S,40,12.90,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,28.80,24.90,0.00,0.00,0.09,0.00,-0.06,-331.48,0.02,0.99,1.53
S,40,12.90,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,26.50,24.90,0.00,0.00,0.09,0.00,-0.07,-339.85,0.01,0.99,1.53
S,40,13.10,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,28.40,24.90,0.00,0.00,0.09,0.00,-0.06,-337.16,0.01,0.99,1.53
S,40,13.00,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,29.50,24.90,0.00,0.00,0.09,0.00,-0.04,-334.65,0.00,0.99,1.53
S,40,13.10,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,31.10,24.90,0.00,0.01,0.09,0.00,-0.20,-337.34,0.04,0.99,1.53
S,40,12.90,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,26.40,24.90,0.00,0.01,0.09,0.00,-0.14,-337.95,0.03,0.99,1.53
S,40,13.20,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,28.60,24.90,0.00,0.00,0.09,0.00,-0.03,-334.69,0.01,0.99,1.53
S,40,13.10,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,26.00,24.90,0.00,0.00,0.09,0.00,-0.02,-339.26,0.00,0.99,1.53
S,40,13.10,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,28.40,24.90,0.00,0.00,0.09,0.00,-0.01,-333.47,0.00,0.99,1.53
S,40,12.80,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,28.70,24.90,0.00,0.00,0.09,0.00,-0.08,-338.53,0.03,0.99,1.53
S,40,12.80,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,26.40,24.90,0.00,0.00,0.09,0.00,-0.05,-338.72,0.05,0.99,1.53
S,40,12.90,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,30.40,24.90,0.00,-0.00,0.09,0.00,0.03,-337.75,0.02,0.99,1.53
S,40,13.00,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,25.70,24.90,0.00,0.02,0.08,0.00,-0.51,-177.95,3.10,0.99,1.53
S,40,13.10,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,25.40,24.90,0.00,-0.03,-0.11,0.00,0.62,479.90,12.16,0.99,1.53
S,40,12.70,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,25.50,24.90,0.00,0.01,0.05,0.00,-0.10,-371.06,11.78,0.99,15.45
S,40,12.70,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,28.20,24.90,0.00,-0.17,-0.10,0.00,4.51,434.58,1.09,0.99,15.45
S,40,13.00,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,22.70,24.90,0.00,-0.23,0.06,0.00,5.90,-220.13,2.75,0.99,15.45
S,40,12.90,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,31.50,24.90,0.00,-0.29,0.06,0.00,8.88,-136.36,2.97,0.99,15.45
S,40,12.60,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,29.70,24.90,0.00,-0.14,0.02,0.00,6.65,-18.07,8.61,0.99,15.45
S,40,12.50,13.10,0.13,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,28.40,24.90,0.00,0.04,-0.04,0.00,2.68,146.28,11.34,0.99,15.45
S,40,12.30,13.10,0.13,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,26.90,24.90,0.00,0.16,-0.04,0.00,-0.71,63.24,7.54,0.99,15.45
S,40,12.30,13.10,0.13,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,29.40,24.90,0.00,0.18,-0.12,0.00,-2.19,369.40,1.32,0.99,15.45
S,40,12.40,13.10,0.13,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,23.50,24.90,0.00,0.06,-0.11,0.00,-0.06,220.95,4.66,0.99,15.45
S,40,12.40,13.10,0.13,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,26.10,24.90,0.00,-0.07,0.08,0.00,1.80,-301.86,16.16,0.99,15.45
S,40,12.90,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,29.30,24.90,0.00,-0.21,0.09,0.00,5.81,-229.97,16.99,0.99,15.45
S,40,13.20,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,27.70,24.90,0.00,-0.13,0.08,0.00,3.47,-281.06,4.11,0.99,15.45
S,40,13.00,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,27.60,24.90,0.00,-0.22,0.06,0.00,6.57,-128.63,9.81,0.99,15.45
S,40,12.80,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,28.80,24.90,0.00,0.17,0.02,0.00,-2.40,-13.05,16.21,0.99,15.45
S,40,12.30,13.10,0.13,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,24.30,24.90,0.00,0.19,-0.13,0.00,-3.79,472.92,15.66,0.99,15.45
S,40,12.50,13.10,0.13,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,31.20,24.90,0.00,0.19,-0.12,0.00,-5.00,229.21,2.56,0.99,15.45
S,40,12.30,13.10,0.13,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,28.40,24.90,0.00,0.03,-0.09,0.00,-1.99,175.99,15.20,0.99,15.45
S,40,12.80,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,28.10,24.90,0.00,-0.19,0.09,0.00,4.91,-335.32,23.58,0.99,15.45
S,40,13.00,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,25.10,24.90,0.00,-0.32,0.10,0.00,9.44,-241.40,18.55,0.99,15.45
S,40,13.00,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,30.00,24.90,0.00,-0.22,0.08,0.00,8.77,-175.34,2.86,0.99,15.45
S,40,13.00,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,28.20,24.90,0.00,-0.07,0.06,0.00,6.14,-153.16,10.39,0.99,15.45
S,40,12.90,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,27.70,24.90,0.00,0.07,0.02,0.00,2.79,-51.43,16.79,0.99,15.45
S,40,12.60,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,26.60,24.90,0.00,0.22,-0.04,0.00,-1.46,123.85,18.13,0.99,15.45
S,40,12.40,13.10,0.13,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,27.90,24.90,0.00,0.43,-0.13,0.00,-8.12,343.88,8.94,0.99,15.45
S,40,12.50,13.10,0.13,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,24.10,24.90,0.00,0.09,-0.11,0.00,-1.75,192.75,2.83,0.99,15.45
S,40,12.50,13.10,0.13,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,26.80,24.90,0.00,-0.20,-0.09,0.00,5.32,163.65,14.40,0.99,15.45
S,40,12.70,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,22.10,24.90,0.00,-0.16,0.08,0.00,5.46,-445.16,19.99,0.99,15.45
S,40,12.90,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,23.80,24.90,0.00,-0.22,0.09,0.00,7.96,-215.28,11.58,0.99,15.45
S,40,13.00,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,26.00,24.90,0.00,-0.11,0.07,0.00,6.36,-136.66,5.52,0.99,15.45
S,40,12.80,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,31.60,24.90,0.00,0.06,0.02,0.00,2.48,-24.20,15.36,0.99,15.45
S,40,12.70,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,28.00,24.90,0.00,0.17,-0.04,0.00,-0.82,129.39,17.30,0.99,15.45
S,40,12.30,13.10,0.13,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,26.50,24.90,0.00,0.27,-0.13,0.00,-4.44,367.54,11.49,0.99,15.45
S,40,12.40,13.10,0.13,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,30.30,24.90,0.00,0.23,-0.11,0.00,-4.83,206.43,0.84,0.99,15.45
S,40,12.50,13.10,0.13,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,26.70,24.90,0.00,0.13,-0.09,0.00,-3.47,165.14,12.75,0.99,15.45
S,40,13.20,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,25.70,24.90,0.00,-0.11,0.09,0.00,2.80,-348.88,19.97,0.99,15.45
S,40,12.50,13.10,0.13,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,27.10,24.90,0.00,-0.21,0.10,0.00,6.14,-246.08,16.29,0.99,15.45
S,40,13.00,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,26.70,24.90,0.00,-0.18,0.08,0.00,6.62,-163.80,0.98,0.99,15.45
S,40,13.10,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,26.60,24.90,0.00,-0.05,0.06,0.00,4.18,-147.37,10.77,0.99,15.45
S,40,12.60,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,31.40,24.90,0.00,0.07,0.02,0.00,1.24,-51.33,16.64,0.99,15.45
S,40,12.60,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,29.70,24.90,0.00,0.24,-0.04,0.00,-3.43,123.37,17.78,0.99,15.45
S,40,12.50,13.10,0.13,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,28.10,24.90,0.00,0.24,-0.13,0.00,-4.80,358.43,12.89,0.99,15.45
S,40,12.50,13.10,0.13,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,27.40,24.90,0.00,-0.15,-0.12,0.00,3.95,205.39,3.84,0.99,15.45
S,40,12.60,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,27.60,24.90,0.00,-0.13,0.07,0.00,4.20,-434.83,15.56,0.99,15.45
S,40,12.60,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,26.80,24.90,0.00,-0.12,0.07,0.00,4.81,-196.30,8.54,0.99,15.45
S,40,13.10,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,29.60,24.90,0.00,0.12,0.03,0.00,-0.77,-28.21,5.99,0.99,15.45
S,40,12.90,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,28.30,24.90,0.00,0.15,-0.12,0.00,-2.31,455.62,12.08,0.99,15.45
S,40,12.80,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,26.70,24.90,0.00,0.43,-0.12,0.00,-10.51,228.48,4.90,0.99,15.45
S,40,12.70,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,26.30,24.90,0.00,0.11,-0.10,0.00,-4.62,187.36,11.01,0.99,0.45
S,40,13.00,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,29.00,24.90,0.00,-0.10,0.09,0.00,2.53,-336.24,20.46,0.99,0.45
S,40,13.30,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,28.80,24.90,0.00,-0.20,0.10,0.00,5.79,-241.41,16.40,0.99,0.45
S,40,13.00,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,26.30,24.90,0.00,-0.11,0.08,0.00,4.52,-164.06,0.91,0.99,0.45
S,40,13.40,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,26.50,24.90,0.00,0.04,0.05,0.00,1.26,-136.88,11.16,0.99,0.45
S,40,12.40,13.10,0.13,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,28.50,24.90,0.00,0.16,-0.09,0.00,-1.98,369.60,16.56,0.99,0.45
S,40,12.50,13.10,0.13,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,30.40,24.90,0.00,0.05,-0.12,0.00,0.02,267.00,4.98,0.99,1.60
L,40,30.40,24.90,0.00,0.05,-0.12,0.00,0.02,267.00,4.98,0.99,1.60
S,40,12.50,13.10,0.13,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,26.10,24.90,0.00,0.03,0.06,0.00,0.20,-425.80,10.54,0.99,1.60
S,40,12.70,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,28.20,24.90,0.00,-0.24,0.08,0.00,6.19,-299.30,17.90,0.99,1.60
S,40,13.20,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,28.30,24.90,0.00,-0.30,0.08,0.00,7.71,-310.79,10.90,0.99,1.60
S,40,13.10,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
S,40,13.10,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,26.90,24.90,0.00,-0.04,0.06,0.00,2.68,-126.79,1.97,0.99,1.60
S,40,13.20,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,30.60,24.90,0.00,0.04,0.02,0.00,0.99,-15.97,13.29,0.99,1.60
S,40,12.80,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,28.60,24.90,0.00,0.14,-0.10,0.00,-1.88,361.39,15.54,0.99,1.60
S,40,12.40,13.10,0.13,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,27.50,24.90,0.00,0.37,-0.12,0.00,-8.75,277.55,7.53,0.99,1.60
S,40,12.50,13.10,0.13,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,26.90,24.90,0.00,0.20,-0.10,0.00,-6.44,189.60,8.22,0.99,0.23
S,40,12.90,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,26.60,24.90,0.00,-0.02,0.09,0.00,0.56,-326.85,19.30,0.99,0.23
S,40,13.30,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,27.90,24.90,0.00,-0.26,0.10,0.00,6.99,-237.70,17.11,0.99,0.23
S,40,12.80,13.10,0.12,-0.00,-0.16,0.00,0.00,0.00,0.00,0.99,0.95
L,40,29.20,24.90,0.00,-0.22,0.08,0.00,7.45,-167.62,2.57,0.99,0.23
